"고유번호","녹지대ID","녹지대명","주소한글","녹지대분류","녹지대조성년도","녹지대면적","조경량","구명","구코드","X 좌표","Y 좌표"
"445","0","왕십리1동 31-4","왕십리1동 31-4","기타","0","28.00000000","0E-8","성동구","200","202172.055","452237.346"
"462","0","행당2동344-1","행당2동344-1","기타","0","10.00000000","0E-8","성동구","200","203004.488","450663.963"
"475","0","보라매공원정문앞녹지대","신대방 370-3","도로변녹지","0","372.00000000","0E-8","동작구","590","192703.643","444205.811"
"489","0","장안1동 마을마당","장안1동 479-14","간이휴게소","0","315.00000000","392.00000000","동대문구","230","205243.546","451445.627"
"414","0","이촌동길","이촌동","수벽","0","350.00000000","0E-8","용산구","170","197037.917","446992.325"
"496","0","답십리1동쉼터","답십리1동192-13","간이휴게소","0","79.00000000","217.00000000","동대문구","230","204851.44","452350.446"
"450","0","옥수2동(극동아파트앞인도)","옥수2동(극동아파트앞인도)","기타","0","26.00000000","0E-8","성동구","200","201072.051","449242.249"
"684","0","봉천복개로","","노변분리","0","9489.00000000","0E-8","관악구","620","194614.495","442803.244"
"668","0","분토골 마을마당","성내동186-4외2","마을마당","0","597.00000000","0E-8","강동구","740","211759.253","448426.841"
"618","0","잠원역수벽","잠원역~경원중","수벽","0","200.00000000","0E-8","서초구","650","200922.906","445891.704"
"747","0","홍대앞걷고싶은거리","2003.하반기 완공예정","","0","0E-8","0E-8","마포구","440","193316.455","450704.271"
"758","0","음식물재활용센타","고덕동368","건물조경","0","1200.00000000","0E-8","강동구","740","214005.878","452190.735"
"763","0","강동구 구민회관","천호동41","건물조경","0","0E-8","0E-8","강동구","740","212428.191","449602.885"
"532","0","용산선철로연변","","수벽","0","1126.00000000","0E-8","마포구","440","193334.441","451166.31"
"542","0","이문2동 342-3","이문2동 342-3","기타","0","46.00000000","213.00000000","동대문구","230","204961.258","454772.041"
"544","0","성산대교I.C","","광장녹지","0","35544.00000000","0E-8","마포구","440","190528.156","451032.153"
"613","0","서초로수벽","강남역~서초역","수벽","0","200.00000000","0E-8","서초구","650","201568.913","443925.2"
"419","0","성산대교I.C","","광장녹지","0","35544.00000000","0E-8","마포구","440","190769.918","450920.993"
"493","0","휘경2동 마을마당","휘경2동 49-308","간이휴게소","0","1300.00000000","1602.00000000","동대문구","230","206336.132","453900.126"
"483","0","명일동 상업지구내 녹지","명일동47-11 일대","광장녹지","0","3074.00000000","0E-8","강동구","740","213726.361","450363.14"
"2192","0","독산지역(안천)녹지","독산동 1094번지 6필지","완충녹지","1990","24938.00000000","0E-8","금천구","540","189854.948","440401.324"
"2195","0","가양대교북단주변녹지","","도로변녹지","0","500.00000000","0E-8","마포구","440","188192.046","452897.907"
"2008","0","공항로벽수벽","","수벽","0","2644.00000000","0E-8","강서구","500","187562.846","450419.793"
"2018","0","올림픽로 분리대","","중앙분리대","0","28907.00000000","0E-8","송파구","710","207336.452","445807.909"
"2022","0","남부순환로변 수림대","신월동","수림대","0","21368.00000000","0E-8","양천구","470","185937.662","445963.541"
"2172","0","코리아나 호텔 옆 녹지대","태평1가61-1일대","광장녹지","0","2280.00000000","3063.00000000","중구","140","197938.543","452147.017"
"2201","0","양재ic녹지대","양재ic","광장녹지","0","54048.00000000","0E-8","서초구","650","203540.567","440546.94"
"2204","0","장한동로터리녹지대","장한동","광장녹지","0","862.00000000","869.00000000","동대문구","230","206304.522","452508.014"
"2206","0","위례성길 분리대","","","0","0E-8","0E-8","송파구","710","211651.88","445650.455"
"2207","0","길음3동 소공원","길음3동 499","간이휴게소","0","66.00000000","84.00000000","성북구","290","202366.267","456814.503"
"2208","0","대조동마을마당","대조동48-42","휴게소","0","184.00000000","82.00000000","은평구","380","192839.128","456775.335"
"2209","0","푸른거리(홍대입구-성모병","","도로변녹지","0","667.00000000","0E-8","마포구","440","192700.13","451049.639"
"2227","0","군자교 동측","용답동","도로변녹지","0","160.00000000","0E-8","성동구","200","206481.669","451072.169"
"2228","0","구의현대(아)전면","","광장녹지","0","850.00000000","0E-8","광진구","210","208536.058","448674.417"
"2229","0","난지도길 중앙분리대","","중앙분리대","0","897.00000000","0E-8","마포구","440","189590.919","453022.807"
"2230","0","독막길걷고싶은거리","2003.하반기 완공예정","","0","0E-8","0E-8","마포구","440","195233.193","449173.332"
"2231","0","도봉산입구 녹지대","도봉동282-244일대","분리대","1980","8511.00000000","32851.00000000","도봉구","320","203617.191","465364.51"
"2233","0","칠궁 주변 녹지","","문화재 주변","0","450.00000000","801.00000000","종로구","110","197625.716","454085.759"
"2234","0","상계동 107-1789","","자투리땅 녹지","0","200.00000000","194.00000000","노원구","350","206986.199","463102.092"
"2235","0","양화로푸른거리","","도로변녹지","0","892.00000000","0E-8","마포구","440","193345.857","450871.369"
"2236","0","남부순환도로 분리대","","노변분리대","0","2022.00000000","0E-8","송파구","710","209567.015","444040.966"
"2237","0","구의회","성내동541-4","건물조경","0","390.00000000","0E-8","강동구","740","211191.114","447730.404"
"2239","0","행당1동 도로개설지","행당1동128일대","기타","0","60.00000000","0E-8","성동구","200","203452.551","450883.951"
"2240","0","가좌로지선","상암동633","수벽","0","900.00000000","0E-8","마포구","440","189475.245","453962.271"
